2023-09-28 08:31:05,653.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,653.smoker_temp_producer.INFO Today is 2023-09-28 at 08:31 AM
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Running on: posix Darwin 19.6.0
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python version:  3.11.4
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python path: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker/.venv
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Working dir: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker
2023-09-28 08:31:05,654.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,823.smoker_temp_producer.INFO Header skipped
2023-09-28 08:47:36,022.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:36:10', '106.9') to 01-smoker
2023-09-28 08:47:36,023.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:36:10', '') to 02-food-A
2023-09-28 08:47:36,024.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:36:10', '') to 03-food-B
2023-09-28 08:48:06,028.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:36:15', '106.9') to 01-smoker
2023-09-28 08:48:06,028.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:36:15', '') to 02-food-A
2023-09-28 08:48:06,029.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:36:15', '') to 03-food-B
2023-09-28 08:48:36,033.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:37:10', '111.9') to 01-smoker
2023-09-28 08:48:36,033.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:37:10', '') to 02-food-A
2023-09-28 08:48:36,034.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:37:10', '') to 03-food-B
2023-09-28 08:49:06,037.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:37:15', '111.9') to 01-smoker
2023-09-28 08:49:06,038.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:37:15', '') to 02-food-A
2023-09-28 08:49:06,038.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:37:15', '') to 03-food-B
2023-09-28 08:49:36,043.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:38:10', '114.2') to 01-smoker
2023-09-28 08:49:36,044.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:38:10', '') to 02-food-A
2023-09-28 08:49:36,044.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:38:10', '') to 03-food-B
2023-09-28 08:50:06,048.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:38:15', '114.2') to 01-smoker
2023-09-28 08:50:06,049.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:38:15', '') to 02-food-A
2023-09-28 08:50:06,049.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:38:15', '') to 03-food-B
2023-09-28 08:50:36,052.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:39:10', '115.5') to 01-smoker
2023-09-28 08:50:36,053.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:39:10', '') to 02-food-A
2023-09-28 08:50:36,053.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:39:10', '') to 03-food-B
2023-09-28 08:51:06,057.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:39:15', '115.5') to 01-smoker
2023-09-28 08:51:06,058.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:39:15', '') to 02-food-A
2023-09-28 08:51:06,059.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:39:15', '') to 03-food-B
2023-09-28 08:51:36,063.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:40:10', '112.6') to 01-smoker
2023-09-28 08:51:36,063.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:40:10', '') to 02-food-A
2023-09-28 08:51:36,064.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:40:10', '') to 03-food-B
2023-09-28 08:52:06,068.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:40:15', '112.6') to 01-smoker
2023-09-28 08:52:06,068.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:40:15', '') to 02-food-A
2023-09-28 08:52:06,069.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:40:15', '') to 03-food-B
2023-09-28 08:52:36,073.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:41:10', '118.8') to 01-smoker
2023-09-28 08:52:36,073.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:41:10', '') to 02-food-A
2023-09-28 08:52:36,074.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:41:10', '') to 03-food-B
2023-09-28 08:53:06,078.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:41:15', '118.8') to 01-smoker
